signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
BUY,2020-07-12,2020-07-13,9302.75,9242.62,9302.75,0.0,,-0.6463680094595599,0,1.0,,0.24660287081132992,0.1370015948951833,0.10960127591614663
SELL,2020-07-13,2020-07-21,9242.62,9390.0,9133.72,,1.1782373396288222,-1.5945695051835864,3,,8.0,0.02087710119849362,0.08940958928178588,-0.06853248808329226
BUY,2020-07-21,2020-08-13,9390.0,11780.0,11892.92,26.65516506922258,,25.452609158679447,20,23.0,,0.4983522056572838,-0.6298022774860296,1.1281544831433132
SELL,2020-08-13,2020-08-17,11780.0,12281.13,11760.54,,0.16519524617995862,-4.254074702886241,1,,4.0,76.37212962069498,76.6437949081134,-0.2716652874184291
BUY,2020-08-17,2020-08-18,12281.13,11945.01,12281.13,0.0,,-2.7368817038822892,0,1.0,,77.53896714735856,75.96713013081585,1.571837016542716
SELL,2020-08-18,2020-09-16,11945.01,10954.01,10126.65,,15.222758289863304,8.296351363456372,21,,29.0,75.67601894346626,75.90889821790982,-0.2328792744435617
BUY,2020-09-16,2020-11-26,10954.01,17149.47,19160.01,74.91320530107237,,56.55883096692445,69,71.0,,-41.10442889903425,-46.154106694614406,5.049677795580159
SELL,2020-11-26,2020-12-16,17149.47,21335.52,17139.52,,0.058019285727201636,-24.409209147571318,1,,20.0,255.04994169727797,259.0027350213385,-3.952793324060508
BUY,2020-12-16,2021-01-15,21335.52,36742.22,40582.81,90.21242510142709,,72.2115045707815,23,30.0,,152.0178160157884,149.77676021690738,2.2410557988810353
SELL,2021-01-15,2021-02-04,36742.22,36936.66,30366.15,,17.353524092991655,-0.5292004674731203,12,,20.0,781.7985409778848,793.9912118931804,-12.192670915295594
BUY,2021-02-04,2021-02-24,36936.66,49676.2,57408.57,55.42436701098582,,34.490232738964465,17,20.0,,189.6579244459208,181.50119111501652,8.156733330904274
SELL,2021-02-24,2021-03-10,49676.2,55851.59,45135.66,,9.140272404088867,-12.431285001670819,4,,14.0,884.2500604469533,899.3553402086127,-15.105279761659403
BUY,2021-03-10,2021-03-21,55851.59,57351.56,61188.39,9.555323313087422,,2.6856352701865807,3,11.0,,467.6719829665017,448.7280904819852,18.943892484516482
SELL,2021-03-21,2021-04-13,57351.56,63575.0,51293.78,,10.562537444491483,-10.851387477515875,4,,23.0,581.1039215253695,598.9295394926979,-17.825617967328412
BUY,2021-04-13,2021-04-18,63575.0,56150.01,63575.0,0.0,,-11.679103421156112,0,5.0,,326.70299614515534,287.89127175656074,38.8117243885946
SELL,2021-04-18,2021-05-01,56150.01,57800.37,49066.77,,12.614850825494074,-2.9391980517901968,7,,13.0,273.79929028856714,321.2550148421852,-47.45572455361804
BUY,2021-05-01,2021-05-12,57800.37,49631.32,58862.05,1.836804850903204,,-14.13321402613859,7,11.0,,-121.21132018552453,-136.7853470979069,15.57402691238238
SELL,2021-05-12,2021-06-01,49631.32,36693.09,34605.15,,30.275580016811958,26.068680018988015,17,,20.0,-63.56594256225799,-26.31446068132469,-37.2514818809333
BUY,2021-06-01,2021-06-22,36693.09,32509.56,40516.29,10.41940049202726,,-11.401411001362916,13,21.0,,-896.1870077958156,-898.6529975054467,2.465989709631117
SELL,2021-06-22,2021-06-24,32509.56,34663.09,32509.56,,0.0,-6.624297591231611,0,,2.0,-373.1141099696033,-369.9774500816337,-3.1366598879695857
BUY,2021-06-24,2021-06-25,34663.09,31584.45,34663.09,0.0,,-8.881608650584804,0,1.0,,-363.2707204005055,-369.68945504894106,6.418734648435532
SELL,2021-06-25,2021-06-27,31584.45,34700.34,31584.45,,0.0,-9.865265977403425,0,,2.0,-389.3469634208086,-373.62095672331463,-15.726006697493972
BUY,2021-06-27,2021-07-16,34700.34,31383.87,35911.73,3.4910032581813515,,-9.557456785726012,2,19.0,,-370.6157095548915,-376.9636273205314,6.347917765639863
SELL,2021-07-16,2021-07-22,31383.87,32287.83,29790.35,,5.077512747790506,-2.8803331137938146,4,,6.0,-204.91575324406585,-197.74985422119923,-7.1658990228666255
BUY,2021-07-22,2021-08-18,32287.83,44705.29,47800.0,48.04339591728524,,38.45863905998018,22,27.0,,-213.96541823311782,-217.55108422947723,3.5856659963594097
SELL,2021-08-18,2021-08-20,44705.29,49322.47,44705.29,,0.0,-10.328039478102033,0,,2.0,520.3005443975999,533.2880012737158,-12.98745687611597
BUY,2021-08-20,2021-08-24,49322.47,47674.01,49488.85,0.3373310379630164,,-3.342208936413767,3,4.0,,542.6519745606929,532.5056824573333,10.146292103359656
SELL,2021-08-24,2021-09-06,47674.01,52663.9,46843.87,,1.7412841923723208,-10.466688243762166,2,,13.0,543.4436661473665,546.0731282931841,-2.6294621458176834
BUY,2021-09-06,2021-09-07,52663.9,46863.73,52663.9,0.0,,-11.013559573066177,0,1.0,,411.69247689867916,407.7314484863944,3.9610284122847474
SELL,2021-09-07,2021-10-01,46863.73,48141.61,40734.38,,13.07909122897389,-2.7267995953373694,14,,24.0,351.86053358513163,396.5572655061419,-44.69673192101027
BUY,2021-10-01,2021-10-25,48141.61,63078.78,66001.41,37.09846845587425,,31.027566381764128,19,24.0,,-165.12285344705742,-175.46570659916657,10.342853152109143
SELL,2021-10-25,2021-11-09,63078.78,66947.66,58413.44,,7.396052999122679,-6.1334096823052136,2,,15.0,752.8295716446737,754.9339147535107,-2.1043431088370426
BUY,2021-11-09,2021-11-10,66947.66,64882.43,66947.66,0.0,,-3.084842696518449,0,1.0,,472.21544309591263,467.4618528458337,4.7535902500789575
SELL,2021-11-10,2021-12-20,64882.43,46914.16,46131.2,,28.90032016371767,27.693583609615107,37,,40.0,466.00083213501057,467.1696487036691,-1.168816568658542
BUY,2021-12-20,2022-01-05,46914.16,43451.13,50838.81,8.365597934610774,,-7.381630620691079,3,16.0,,-567.5812358306139,-567.7331748267459,0.151938996132003
SELL,2022-01-05,2022-01-14,43451.13,43059.96,41566.48,,4.337401581961147,0.9002527667289626,2,,9.0,-327.05857432731864,-307.81730816061696,-19.241266166701678
BUY,2022-01-14,2022-01-21,43059.96,36445.31,43084.29,0.05650260706234225,,-15.36148663398666,1,7.0,,-407.65918673598935,-410.3268711589116,2.667684422922264
