signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
BUY,2020-07-20,2020-08-31,9931.54,10256.2,11911.0,19.931047954295096,,3.2689794331996835,3,6.0,,42.14874999999847,24.58677083333244,17.56197916666603
SELL,2020-08-31,2020-10-05,10256.2,11369.02,10256.2,,0.0,-10.8502174294573,0,,5.0,71.2384009194484,191.60736853822613,-120.36896761877773
BUY,2020-10-05,2021-04-12,11369.02,56150.01,60002.43,427.7713470466232,,393.886104519123,26,27.0,,33.62064216930412,16.574293295843866,17.046348873460254
SELL,2021-04-12,2021-07-26,56150.01,39845.44,31778.56,,43.404177488125114,29.037519316559333,13,,15.0,11135.08324587129,11933.213408863483,-798.1301629921927
BUY,2021-07-26,2021-09-20,39845.44,43160.9,51756.88,29.894110844302368,,8.320801577294663,5,8.0,,-3052.2077641569995,-3498.096414114599,445.8886499575997
SELL,2021-09-20,2021-09-27,43160.9,48200.01,43160.9,,0.0,-11.675173594619205,0,,1.0,2081.693167722624,2130.9421090342557,-49.248941311631825
BUY,2021-09-27,2021-11-22,48200.01,57274.88,65519.1,35.93171453698868,,18.82752721420596,6,8.0,,2347.843834604413,2192.9140306532718,154.92980395114137
SELL,2021-11-22,2022-03-14,57274.88,41262.11,36244.55,,36.71824366982523,27.957753905377015,8,,16.0,6109.818708526436,6686.054975856383,-576.2362673299467
BUY,2022-03-14,2022-04-25,41262.11,38468.35,46827.76,13.488524944555675,,-6.770763783044546,1,6.0,,-3788.6747709567862,-4272.504925048777,483.83015409199106
SELL,2022-04-25,2022-07-18,38468.35,22579.68,19315.83,,49.78773459220371,41.30322719846315,9,,12.0,-2226.802343974792,-2110.259043758793,-116.54330021599935
BUY,2022-07-18,2022-11-14,22579.68,16280.23,24305.24,7.642092359147699,,-27.898756758288872,3,17.0,,-7228.690589840346,-7500.641373951516,271.9507841111699
SELL,2022-11-14,2022-11-28,16280.23,17105.7,16280.23,,0.0,-5.0703829122807305,0,,2.0,-3032.58222036852,-3022.2749173858197,-10.307302982700548
BUY,2022-11-28,2023-05-01,17105.7,28430.1,30304.65,77.16112173135271,,66.20249390554024,19,22.0,,-2926.580169701516,-3010.3296505164953,83.7494808149795
SELL,2023-05-01,2023-06-26,28430.1,30617.03,25925.55,,8.809501197674294,-7.6923049866163,5,,8.0,2934.553152457287,2940.51009342941,-5.956940972122993
BUY,2023-06-26,2023-07-24,30617.03,29281.09,30617.03,0.0,,-4.363388610848272,0,4.0,,1875.4597934692974,1649.9844700856822,225.4753233836152
SELL,2023-07-24,2023-10-02,29281.09,27917.05,25841.61,,11.746420642127733,4.658433138930282,6,,10.0,1696.9955776902934,1810.4493126619723,-113.45373497167884
BUY,2023-10-02,2024-01-08,27917.05,41732.35,43929.02,57.35552287938732,,49.486962268577805,13,14.0,,-73.0980848735453,-147.67633276580491,74.57824789225961
SELL,2024-01-08,2024-02-05,41732.35,48299.99,41580.33,,0.36427375884654667,-15.737527361866752,1,,4.0,5018.60534864667,5118.91505907924,-100.30971043256977
BUY,2024-02-05,2024-04-08,48299.99,65661.84,71280.01,47.57769100987391,,35.945866655458936,7,9.0,,4708.351693291763,4541.501398915483,166.85029437627963
SELL,2024-04-08,2024-09-16,65661.84,63578.76,54869.95,,16.435558309057438,3.172436227799883,21,,23.0,11244.585589771952,11254.030631299069,-9.4450415271167
BUY,2024-09-16,2024-12-30,63578.76,98363.61,104463.99,64.30642875073373,,54.71143193104112,12,15.0,,-531.0684295742249,-622.3993454073523,91.33091583312739
SELL,2024-12-30,2025-04-21,98363.61,93749.3,78430.0,,20.265228167205333,4.691074270250957,13,,16.0,12736.02878243354,12928.301389057624,-192.2726066240848
