signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
BUY,2020-07-10 16:00:00,2020-07-11 08:00:00,9288.34,9226.65,9288.34,0.0,,-0.6641660404334953,0,2.0,,0.7093645484947046,0.3800167224078775,0.32934782608682717
SELL,2020-07-11 08:00:00,2020-07-12 16:00:00,9226.65,9302.75,9215.69,,0.1187863417383246,-0.8247847268510279,3,,4.0,-0.8085027412889758,0.03575305830863933,-0.8442557995976151
BUY,2020-07-12 16:00:00,2020-07-14 00:00:00,9302.75,9181.01,9302.75,0.0,,-1.308645293058502,0,4.0,,0.5374879877890635,-0.4778561050773413,1.0153440928664048
SELL,2020-07-14 00:00:00,2020-07-19 16:00:00,9181.01,9208.99,9109.94,,0.7740978389087879,-0.3047594981379997,9,,17.0,-2.425623404329599,-0.12717305698723538,-2.2984503473423636
BUY,2020-07-19 16:00:00,2020-08-02 08:00:00,9208.99,11083.63,11801.17,28.14836371849682,,20.356629771560176,39,41.0,,-10.249037629369923,-12.09460822033739,1.8455705909674673
SELL,2020-08-02 08:00:00,2020-08-15 16:00:00,11083.63,11852.4,11071.35,,0.11079402686663879,-6.93608501907769,1,,40.0,286.5999198996942,300.03831920066307,-13.438399300968854
BUY,2020-08-15 16:00:00,2020-08-19 00:00:00,11852.4,11823.34,12421.55,4.801981033377204,,-0.2451824103135187,5,10.0,,60.32615882443861,60.08349858777825,0.24266023666035608
SELL,2020-08-19 00:00:00,2020-08-29 00:00:00,11823.34,11558.28,11318.42,,4.270536075254539,2.2418369090290855,20,,30.0,80.0212500344187,83.92577618313278,-3.9045261487140834
BUY,2020-08-29 00:00:00,2020-09-02 16:00:00,11558.28,11388.54,12039.33,4.161951432220013,,-1.4685576054568654,10,14.0,,-49.90541978848887,-56.45388651800552,6.548466729516647
SELL,2020-09-02 16:00:00,2020-09-09 00:00:00,11388.54,10190.0,10098.58,,11.326825036396244,10.524088250118108,17,,19.0,6.916387605775526,9.24473752906792,-2.3283499232923948
BUY,2020-09-09 00:00:00,2020-09-21 00:00:00,10190.0,10902.58,11090.56,8.837684003925412,,6.992934249263984,31,36.0,,-219.9327081269348,-223.99601858917853,4.06331046224372
SELL,2020-09-21 00:00:00,2020-09-25 16:00:00,10902.58,10686.67,10241.46,,6.063885795839157,1.9803569430355006,8,,14.0,70.67334870655577,74.4976458666525,-3.8242971600967337
BUY,2020-09-25 16:00:00,2020-10-01 16:00:00,10686.67,10619.13,10901.9,2.01400436244405,,-0.6320022981901834,8,18.0,,-22.72100321317339,-25.987362287455056,3.2663590742816666
SELL,2020-10-01 16:00:00,2020-10-05 08:00:00,10619.13,10726.02,10490.88,,1.2077260566543588,-1.006579635054861,1,,11.0,12.069004325221613,17.05934276988008,-4.990338444658466
BUY,2020-10-05 08:00:00,2020-10-08 00:00:00,10726.02,10592.21,10792.21,0.6170974881642836,,-1.2475270417172568,1,8.0,,-9.06866041426656,-12.730241545673211,3.661581131406651
SELL,2020-10-08 00:00:00,2020-10-08 08:00:00,10592.21,10896.96,10592.21,,0.0,-2.8771144076637456,0,,1.0,-6.061352558323051,-4.773539124236415,-1.2878134340866358
BUY,2020-10-08 08:00:00,2020-10-14 16:00:00,10896.96,11417.89,11549.38,5.987174404604588,,4.780507591107982,12,19.0,,9.228194360777707,-2.906641326234532,12.134835687012238
SELL,2020-10-14 16:00:00,2020-10-19 08:00:00,11417.89,11800.0,11305.87,,0.9810919530666229,-3.346590306965653,4,,14.0,116.41720642774817,120.53146498259846,-4.114258554850295
BUY,2020-10-19 08:00:00,2020-10-26 08:00:00,11800.0,12978.41,13111.73,11.116355932203387,,9.986525423728812,16,21.0,,74.8652735808555,73.3762539423116,1.489019638543894
SELL,2020-10-26 08:00:00,2020-10-27 16:00:00,12978.41,13636.17,12978.41,,0.0,-5.068109267622153,0,,4.0,254.33603694105295,267.41666788523787,-13.080630944184918
BUY,2020-10-27 16:00:00,2020-10-28 08:00:00,13636.17,13221.26,13664.37,0.20680293660170507,,-3.042716539908199,1,2.0,,272.2359852143345,261.89528319645166,10.340702017882847
SELL,2020-10-28 08:00:00,2020-11-05 00:00:00,13221.26,14475.87,13138.87,,0.623162996567645,-9.489337627427345,2,,23.0,259.923398339688,263.954561352719,-4.031163013031005
BUY,2020-11-05 00:00:00,2020-11-09 08:00:00,14475.87,15000.96,15733.3,8.686386379540563,,3.627346750143503,3,13.0,,179.24691054767027,163.6769334024987,15.569977145171578
SELL,2020-11-09 08:00:00,2020-11-12 08:00:00,15000.96,16125.01,15000.96,,0.0,-7.493187102692102,0,,9.0,305.2475176854441,326.13945632006437,-20.89193863462026
BUY,2020-11-12 08:00:00,2020-11-14 08:00:00,16125.01,15951.92,16320.7,1.2135806427406899,,-1.0734256908987974,4,6.0,,286.6024043070993,281.34943014718544,5.252974159913833
SELL,2020-11-14 08:00:00,2020-11-17 00:00:00,15951.92,16750.0,15951.92,,0.0,-5.003034117523156,0,,8.0,291.2456144957305,298.84899347274506,-7.603378977014586
BUY,2020-11-17 00:00:00,2020-11-22 16:00:00,16750.0,18414.43,18790.01,12.179164179104468,,9.936895522388062,13,17.0,,267.70917009649384,264.2409593156601,3.468210780833715
SELL,2020-11-22 16:00:00,2020-11-30 00:00:00,18414.43,18623.0,16498.85,,10.402602741437024,-1.132644344679687,14,,22.0,451.1269190827152,470.24075627989936,-19.113837197184182
BUY,2020-11-30 00:00:00,2020-12-04 16:00:00,18623.0,18650.52,19695.87,5.760994469204742,,0.14777425763840646,2,14.0,,22.622848350052664,19.64747353369614,2.975374816356524
SELL,2020-12-04 16:00:00,2020-12-13 00:00:00,18650.52,19247.68,17811.95,,4.496228523387014,-3.2018410210546397,19,,25.0,206.77257502523207,221.65966942453994,-14.88709439930787
BUY,2020-12-13 00:00:00,2020-12-21 16:00:00,19247.68,22719.71,23980.0,24.586443664898834,,18.03869349448868,24,26.0,,-38.86152692653559,-66.95175875385279,28.090231827317197
SELL,2020-12-21 16:00:00,2020-12-26 08:00:00,22719.71,25629.99,22655.83,,0.28116556065195103,-12.809494487385633,1,,14.0,720.6358509070269,745.467181976476,-24.831331069449107
BUY,2020-12-26 08:00:00,2021-01-05 00:00:00,25629.99,30817.77,34452.34,34.42197987591877,,20.241053547036103,23,29.0,,572.8667707186869,537.577306059419,35.28946465926788
SELL,2021-01-05 00:00:00,2021-01-06 00:00:00,30817.77,34676.4,30817.77,,0.0,-12.520795631870838,0,,3.0,1139.6023445486244,1199.3899978595675,-59.78765331094314
BUY,2021-01-06 00:00:00,2021-01-10 16:00:00,34676.4,38150.02,40978.57,18.174233772825314,,10.017245158090214,12,14.0,,1235.4518535395218,1188.875739372969,46.57611416655277
SELL,2021-01-10 16:00:00,2021-01-25 08:00:00,38150.02,34458.31,30842.45,,19.154826131152742,9.676823236265667,34,,44.0,1789.1805366071421,1855.7196651573831,-66.539128550241
BUY,2021-01-25 08:00:00,2021-01-27 08:00:00,34458.31,30322.61,34458.31,0.0,,-12.002039566072733,0,6.0,,-537.1195156624162,-626.1017748640216,88.98225920160542
SELL,2021-01-27 08:00:00,2021-01-28 08:00:00,30322.61,31926.49,30322.61,,0.0,-5.289386368785539,0,,3.0,-646.6249769816204,-603.2839055519236,-43.341071429696854
BUY,2021-01-28 08:00:00,2021-02-13 08:00:00,31926.49,47076.01,47969.51,50.24987087525123,,47.45125442853254,43,48.0,,-624.9783918442881,-625.8582771623729,0.8798853180848027
SELL,2021-02-13 08:00:00,2021-02-17 16:00:00,47076.01,52119.71,47076.01,,0.0,-10.713949631670138,0,,13.0,1748.6596031151494,1814.6737862883865,-66.01418317323714
BUY,2021-02-17 16:00:00,2021-02-18 16:00:00,52119.71,51552.6,52119.71,0.0,,-1.0880912422574889,0,3.0,,1485.545074687754,1482.1395731162552,3.4055015714989167
SELL,2021-02-18 16:00:00,2021-02-19 08:00:00,51552.6,53863.19,51552.6,,0.0,-4.482004787343421,0,,2.0,1475.357899330993,1487.3449347026472,-11.987035371654201
BUY,2021-02-19 08:00:00,2021-02-22 08:00:00,53863.19,53236.69,57408.57,6.582194630507397,,-1.163132001650849,7,9.0,,1531.1760287549332,1488.3012066020794,42.87482215285377
SELL,2021-02-22 08:00:00,2021-03-01 16:00:00,53236.69,49587.03,43391.14,,18.49391838598531,6.855535158177571,18,,22.0,1695.312319105382,1767.9041840809934,-72.59186497561154
BUY,2021-03-01 16:00:00,2021-03-15 08:00:00,49587.03,56224.13,61188.39,23.395956563641747,,13.384750004184559,36,41.0,,-765.4487801980649,-771.7264391364677,6.2776589384027375
SELL,2021-03-15 08:00:00,2021-03-27 16:00:00,56224.13,55817.14,50996.15,,9.298463133177865,0.7238706939529309,30,,37.0,1383.8709791420988,1498.4147636383984,-114.54378449629962
BUY,2021-03-27 16:00:00,2021-04-03 16:00:00,55817.14,57051.94,59480.06,6.5623570107676565,,2.2122237004619065,17,21.0,,-396.8869298336285,-500.1370147996333,103.25008496600475
SELL,2021-04-03 16:00:00,2021-04-10 00:00:00,57051.94,60480.4,55953.45,,1.9254209409881682,-6.009366202095843,12,,19.0,517.3506079832296,560.9248726284998,-43.574264645270205
BUY,2021-04-10 00:00:00,2021-04-16 08:00:00,60480.4,61551.62,64288.8,6.296916025687663,,1.7711853757580986,12,19.0,,180.90587954689545,99.5302791460172,81.37560040087826
SELL,2021-04-16 08:00:00,2021-04-26 00:00:00,61551.62,52801.37,47942.44,,22.11018978866844,14.21611648889176,20,,29.0,730.397768668503,759.746782273233,-29.349013604729976
BUY,2021-04-26 00:00:00,2021-05-04 08:00:00,52801.37,53799.33,58787.87,11.337774000939747,,1.8900267171098006,21,25.0,,-1479.1490604037608,-1500.2815281121484,21.132467708387594
SELL,2021-05-04 08:00:00,2021-05-07 16:00:00,53799.33,57314.75,53200.01,,1.1139915682964818,-6.534319293567408,1,,10.0,402.7154221466699,456.9430498780775,-54.22762773140761
BUY,2021-05-07 16:00:00,2021-05-10 16:00:00,57314.75,55816.14,58862.05,2.699654103001414,,-2.6147021490977465,3,9.0,,328.0535949386831,325.7487597863655,2.304835152317594
SELL,2021-05-10 16:00:00,2021-05-24 00:00:00,55816.14,36645.79,33318.09,,40.30742720653919,34.34553159713301,38,,40.0,340.03557183477824,417.33589300718575,-77.30032117240751
BUY,2021-05-24 00:00:00,2021-06-06 00:00:00,36645.79,36132.57,40445.79,10.369540402867559,,-1.4004882961999212,6,39.0,,-2396.860632490949,-2442.5329179050286,45.67228541407985
SELL,2021-06-06 00:00:00,2021-06-09 16:00:00,36132.57,37388.05,31705.24,,12.253017153222142,-3.474649049320331,7,,11.0,-214.72051533274498,-211.52436348153475,-3.1961518512102316
BUY,2021-06-09 16:00:00,2021-06-17 16:00:00,37388.05,38092.97,40685.37,8.819181529927342,,1.8854152596885856,14,24.0,,-419.3243879739093,-483.1888837921514,63.86449581824206
SELL,2021-06-17 16:00:00,2021-06-24 16:00:00,38092.97,34663.09,31608.93,,17.021618424606956,9.003971073927826,12,,21.0,499.0004224128352,516.411033985026,-17.410611572190874
BUY,2021-06-24 16:00:00,2021-06-25 16:00:00,34663.09,31584.45,34663.09,0.0,,-8.881608650584804,0,3.0,,-663.0679780918872,-714.6825924386144,51.614614346727194
SELL,2021-06-25 16:00:00,2021-06-27 00:00:00,31584.45,33283.17,30720.37,,2.7357766242565624,-5.378342823762951,1,,4.0,-690.5333780110377,-686.5803206087941,-3.953057402243644
BUY,2021-06-27 00:00:00,2021-07-02 08:00:00,33283.17,33704.91,36248.99,8.910869968215167,,1.2671268992707283,7,16.0,,-685.9545737016233,-720.2323489424409,34.27777524081762
SELL,2021-07-02 08:00:00,2021-07-03 00:00:00,33704.91,34499.54,33704.91,,0.0,-2.3576090249165396,0,,2.0,-76.4516920302267,-66.83513590916178,-9.616556121064917
BUY,2021-07-03 00:00:00,2021-07-05 16:00:00,34499.54,33690.14,35600.63,3.191607772161589,,-2.3461182380982515,3,8.0,,-45.147736440711014,-65.83947499266101,20.691738551949996
SELL,2021-07-05 16:00:00,2021-07-06 00:00:00,33690.14,34874.85,33690.14,,0.0,-3.51648880058082,0,,1.0,25.455396405654028,43.358090668877225,-17.902694263223196
BUY,2021-07-06 00:00:00,2021-07-06 08:00:00,34874.85,34042.43,34874.85,0.0,,-2.386877649652969,0,1.0,,54.431556438044936,44.83455277143292,9.597003666612018
SELL,2021-07-06 08:00:00,2021-07-07 08:00:00,34042.43,34528.6,34042.43,,0.0,-1.4281295430437788,0,,3.0,27.001735077326884,42.45684374555211,-15.455108668225229
BUY,2021-07-07 08:00:00,2021-07-07 16:00:00,34528.6,33862.12,34528.6,0.0,,-1.9302259576119392,0,1.0,,40.38169770474633,38.733347845418386,1.6483498593279435
SELL,2021-07-07 16:00:00,2021-07-11 08:00:00,33862.12,33948.68,32487.57,,4.059255592975285,-0.25562486932300066,1,,11.0,3.81433199437015,34.077479065278624,-30.263147070908474
BUY,2021-07-11 08:00:00,2021-07-13 00:00:00,33948.68,33180.08,34281.74,0.9810690724941226,,-2.264005551909525,2,5.0,,-117.46657783337287,-124.43713226054156,6.970554427168693
SELL,2021-07-13 00:00:00,2021-07-21 08:00:00,33180.08,31933.0,29790.35,,10.21615981637176,3.7585201723443755,23,,25.0,-120.83330810287589,-103.71004322361786,-17.12326487925803
BUY,2021-07-21 08:00:00,2021-08-01 16:00:00,31933.0,39845.44,42206.37,32.171640622553475,,24.778254470297192,28,34.0,,-422.66923035332366,-437.6012174229127,14.93198706958907
SELL,2021-08-01 16:00:00,2021-08-06 16:00:00,39845.44,42836.87,37828.84,,5.061055920075185,-7.507584305757447,7,,15.0,1182.1602999281458,1289.1637807294633,-107.00348080131744
BUY,2021-08-06 16:00:00,2021-08-12 08:00:00,42836.87,44196.19,46456.02,8.448679840520548,,3.173247718612494,14,17.0,,562.5570485728531,488.1338579427763,74.42319063007682
SELL,2021-08-12 08:00:00,2021-08-14 00:00:00,44196.19,47616.12,44196.19,,0.0,-7.738065204263083,0,,5.0,951.5358308605646,1065.377648600673,-113.84181774010835
BUY,2021-08-14 00:00:00,2021-08-14 08:00:00,47616.12,46944.47,47616.12,0.0,,-1.4105517207197928,0,1.0,,984.3053787911995,983.8331495849852,0.47222920621425146
SELL,2021-08-14 08:00:00,2021-08-20 16:00:00,46944.47,49322.47,44660.01,,4.8663026763322685,-5.0655593725948975,14,,19.0,966.5566480057678,981.5296160410895,-14.972968035321742
BUY,2021-08-20 16:00:00,2021-08-24 16:00:00,49322.47,47674.01,50130.05,1.6373470347287995,,-3.342208936413767,7,12.0,,499.2634770512159,369.3588465967536,129.90463045446228
SELL,2021-08-24 16:00:00,2021-09-02 00:00:00,47674.01,49846.27,46800.0,,1.8333049810578175,-4.55648685730442,5,,25.0,571.1922476346153,655.0463250569403,-83.85407742232496
BUY,2021-09-02 00:00:00,2021-09-07 08:00:00,49846.27,46656.07,52663.9,5.6526396057317925,,-6.40007767883133,14,16.0,,64.89161744040757,38.58042017180692,26.31119726860065
SELL,2021-09-07 08:00:00,2021-09-14 08:00:00,46656.07,46754.42,44361.31,,4.9184596988130425,-0.21079786617260848,18,,21.0,426.7716634225144,461.4872624837118,-34.715599061197395
BUY,2021-09-14 08:00:00,2021-09-20 00:00:00,46754.42,44824.89,48622.01,3.9944672610632406,,-4.126946714342727,11,17.0,,-533.7285225106752,-615.2364323149795,81.50790980430429
SELL,2021-09-20 00:00:00,2021-09-26 16:00:00,44824.89,43160.9,40734.38,,9.125532711848265,3.712200966918152,5,,20.0,20.586074220169394,96.42941659339108,-75.84334237322169
BUY,2021-09-26 16:00:00,2021-09-28 16:00:00,43160.9,41026.54,43688.03,1.2213137353484227,,-4.945123943198591,1,6.0,,-621.2784003127745,-652.418030031686,31.13962971891158
SELL,2021-09-28 16:00:00,2021-09-29 00:00:00,41026.54,42450.25,41026.54,,0.0,-3.4702170838681474,0,,1.0,-628.5767898502745,-596.4183215719625,-32.15846827831206
BUY,2021-09-29 00:00:00,2021-10-10 16:00:00,42450.25,54659.0,55668.81,31.138945000323904,,28.760136866096197,33,35.0,,-575.0488921237484,-593.5690643122006,18.520172188452193
SELL,2021-10-10 16:00:00,2021-10-11 08:00:00,54659.0,57490.18,54659.0,,0.0,-5.179714228214933,0,,2.0,1528.1136083038873,1602.2340932313227,-74.12048492743543
BUY,2021-10-11 08:00:00,2021-10-12 08:00:00,57490.18,56303.2,57490.18,0.0,,-2.0646656524644786,0,3.0,,1603.2770035823123,1597.1737579520989,6.103245630213451
SELL,2021-10-12 08:00:00,2021-10-15 16:00:00,56303.2,61672.42,54612.61,,3.0026534903877513,-9.536260816436725,2,,10.0,1512.5683589031541,1588.990945125828,-76.42258622267377
BUY,2021-10-15 16:00:00,2021-10-19 00:00:00,61672.42,62297.06,62297.06,1.0128352349397014,,1.0128352349397014,10,10.0,,1416.3139873791442,1310.8817483185337,105.43223906061053
SELL,2021-10-19 00:00:00,2021-10-19 16:00:00,62297.06,64280.59,62297.06,,0.0,-3.1839865316276548,0,,2.0,1404.9201081806968,1419.7405860248355,-14.820477844138622
BUY,2021-10-19 16:00:00,2021-10-21 16:00:00,64280.59,62193.15,66875.83,4.0373618225968455,,-3.247387741773987,2,6.0,,1456.976321768052,1420.1656389969899,36.81068277106215
SELL,2021-10-21 16:00:00,2021-10-30 00:00:00,62193.15,61597.19,58413.44,,6.077373472802067,0.9582405779414599,18,,25.0,1339.5112590966673,1498.582370380908,-159.07111128424071
BUY,2021-10-30 00:00:00,2021-10-31 08:00:00,61597.19,60460.23,61859.19,0.42534407819577486,,-1.8457984852880451,2,4.0,,-15.205894304883259,-16.211938154474,1.0060438495907427
SELL,2021-10-31 08:00:00,2021-10-31 16:00:00,60460.23,61299.8,60460.23,,0.0,-1.3886318328593847,0,,1.0,-10.139195575808117,-1.5005455485683157,-8.638650027239802
BUY,2021-10-31 16:00:00,2021-11-04 16:00:00,61299.8,61395.01,64018.73,4.43546308470827,,0.15531861441635883,5,12.0,,-1.470953288502642,-1.4965999138928925,0.025646625390250533
SELL,2021-11-04 16:00:00,2021-11-07 16:00:00,61395.01,63273.59,60648.59,,1.2157665582268096,-3.059825220323271,5,,9.0,134.56787745316979,174.03286847985544,-39.46499102668565
BUY,2021-11-07 16:00:00,2021-11-11 16:00:00,63273.59,64774.26,68348.63,8.020787187829882,,2.37171622473137,8,12.0,,74.06163828470017,36.47832693270894,37.58331135199123
SELL,2021-11-11 16:00:00,2021-11-21 08:00:00,64774.26,59199.26,55987.83,,13.564693753352024,8.606813879463848,22,,29.0,714.8194122478162,742.5120034137472,-27.692591165930935
BUY,2021-11-21 08:00:00,2021-11-22 16:00:00,59199.26,56247.18,59199.26,0.0,,-4.986683955171064,0,4.0,,-939.7612519443937,-952.1494566290913,12.388204684697598
