Rank,Ticker,Name,Country,Sector,Industry,Market_Cap_USD,Current_Price,Previous_Close,Percentage_Change,Volume,Exchange,Asset_Type
1,NVDA,NVIDIA Corporation,US,Technology,Semiconductors,3904000000000,160.00,158.24,1.11,135392773,NASDAQ,stock
2,MSFT,Microsoft Corporation,US,Technology,Software - Infrastructure,3691148014800,496.62,497.72,-0.22,11831683,NASDAQ,stock
3,AAPL,Apple Inc.,US,Technology,Consumer Electronics,3136667358000,210.01,209.95,0.03,42036884,NASDAQ,stock
4,AMZN,"Amazon.com, Inc.",US,Consumer Cyclical,Specialty Retail,2328813504000,219.36,223.47,-1.84,44865085,NASDAQ,stock
5,GOOGL,Alphabet Inc.,US,Communication Services,Internet Content & Information,2120739981863,174.36,176.79,-1.37,38769963,NASDAQ,stock
6,META,"Meta Platforms, Inc.",US,Communication Services,Internet Content & Information,1811871026909,720.67,718.35,0.32,7745190,NASDAQ,stock
7,2222.SR,Saudi Arabian Oil Company,SA,Energy,Oil & Gas Integrated,1620837642990,25.10,25.08,0.08,11042534,SAU,stock
8,BRK-B,Berkshire Hathaway Inc.,US,Financial Services,Insurance - Diversified,1031256262750,477.47,478.03,-0.12,4104663,NYSE,stock
9,TSLA,"Tesla, Inc.",US,Consumer Cyclical,Auto - Manufacturers,957911821200,297.81,293.94,1.32,101191776,NASDAQ,stock
10,JPM,JPMorgan Chase & Co.,US,Financial Services,Banks - Diversified,785871070200,282.78,291.97,-3.15,14887767,NYSE,stock
11,WMT,Walmart Inc.,US,Consumer Defensive,Discount Stores,774818977800,97.09,99.35,-2.27,16808191,NYSE,stock
12,LLY,Eli Lilly and Company,US,Healthcare,Drug Manufacturers - General,737016377760,777.66,772.87,0.62,3288823,NYSE,stock
13,V,Visa Inc.,US,Financial Services,Financial - Credit Services,687528904287,354.55,356.64,-0.59,6963921,NYSE,stock
14,ORCL,Oracle Corporation,US,Technology,Software - Infrastructure,658670635000,234.50,232.26,0.96,20146791,NYSE,stock
15,ITX.WA,"Industria de Diseño Textil, S.A.",ES,Consumer Cyclical,Apparel - Retail,641837834109,190.80,190.80,0.00,0,WSE,stock
16,0700.HK,Tencent Holdings Limited,CN,Communication Services,Internet Content & Information,581286910896,499.40,504.50,-1.01,4507922,HKSE,stock
17,NFLX,"Netflix, Inc.",US,Communication Services,Entertainment,542734952010,1275.31,1289.62,-1.11,3218285,NASDAQ,stock
18,NDA-SE.ST,Nordea Bank Abp,FI,Financial Services,Banks - Regional,527945273858,141.30,141.30,0.00,1874946,STO,stock
19,XOM,Exxon Mobil Corporation,US,Energy,Oil & Gas Integrated,492117791600,114.19,111.11,2.77,17876596,NYSE,stock
20,TYT.L,Toyota Motor Corporation,JP,Consumer Cyclical,Auto - Manufacturers,406597865586,2453.50,2453.00,0.02,22604,LSE,stock
21,UCG.WA,UniCredit S.p.A.,IT,Financial Services,Banks - Regional,400049608320,237.80,237.80,0.11,50,WSE,stock
22,SAP,Sap Se,DE,Technology,Software - Application,389012018666,308.76,305.53,1.06,1545332,NYSE,stock
23,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,US,Financial Services,Financial - Credit Services,374910713453,269.85,268.10,0.65,1197362,NSE,stock
24,JNJ,Johnson & Johnson,US,Healthcare,Drug Manufacturers - General,374841645300,155.79,155.27,0.33,6426602,NYSE,stock
25,PG,The Procter & Gamble Company,US,Consumer Defensive,Household & Personal Products,370179420600,157.89,160.50,-1.63,11934599,NYSE,stock
26,601398.SS,Industrial & Commercial Bank of China Ltd.,CN,Financial Services,Banks - Diversified,368138811962,7.87,7.76,1.42,122877513,SHH,stock
27,HD,"The Home Depot, Inc.",US,Consumer Cyclical,Home Improvement,365636040000,367.50,367.64,-0.04,2523105,NYSE,stock
28,1398.HK,Industrial and Commercial Bank of China Limited,CN,Financial Services,Banks - Diversified,341254790251,6.13,6.15,-0.33,54966209,HKSE,stock
29,ASML,ASML Holding N.V.,NL,Technology,Semiconductors,337219329600,794.10,785.09,1.15,1247636,NASDAQ,stock
30,ABBV,AbbVie Inc.,US,Healthcare,Drug Manufacturers - General,335209728000,189.77,187.63,1.14,5346360,NYSE,stock
31,PLTR,Palantir Technologies Inc.,US,Technology,Software - Infrastructure,316151156100,139.71,139.12,0.42,59480355,NASDAQ,stock
32,KO,The Coca-Cola Company,US,Consumer Defensive,Beverages - Non-Alcoholic,302331924800,70.24,71.01,-1.08,16388852,NYSE,stock
33,COLA.NE,Coca-Cola Co,CA,Consumer Defensive,Beverages - Non-Alcoholic,300954461511,25.11,25.34,-0.91,1000,NEO,stock
34,SAMPO-SDB.ST,Sampo Oyj,FI,Financial Services,Insurance - Diversified,299262297600,103.00,103.40,-0.39,40378,STO,stock
35,CSCO.NE,Cisco Systems Inc,CA,Technology,Communication Equipment,283438023982,33.73,33.78,-0.15,833,NEO,stock
36,UNH.NE,UnitedHealth Group Inc,CA,Healthcare,Medical - Healthcare Plans,282301076825,14.46,14.28,1.26,101702,NEO,stock
37,LIN,Linde plc,GB,Basic Materials,Chemicals - Specialty,280945264626,469.95,469.59,0.08,1545613,NASDAQ,stock
38,UNH,UnitedHealth Group Incorporated,US,Healthcare,Medical - Healthcare Plans,279126978000,307.70,303.71,1.31,7886587,NYSE,stock
39,PM,Philip Morris International Inc.,US,Consumer Defensive,Tobacco,276624734400,177.72,181.20,-1.92,4171371,NYSE,stock
40,1288.HK,Agricultural Bank of China Limited,CN,Financial Services,Banks - Diversified,272898459050,5.46,5.66,-3.53,61146155,HKSE,stock
41,CSCO,"Cisco Systems, Inc.",US,Technology,Communication Equipment,271616400000,68.59,68.93,-0.49,16309725,NASDAQ,stock
42,IBM,International Business Machines Corporation,US,Technology,Information Technology Services,269915476740,290.42,292.47,-0.70,2914077,NYSE,stock
43,TMUS,"T-Mobile US, Inc.",US,Communication Services,Telecommunications Services,267932136500,235.97,237.63,-0.70,3020755,NASDAQ,stock
44,CVX,Chevron Corporation,US,Energy,Oil & Gas Integrated,267616803600,153.24,147.40,3.96,14035410,NYSE,stock
45,NVS,Novartis AG,CH,Healthcare,Drug Manufacturers - General,266765142315,121.68,122.12,-0.36,1535699,NYSE,stock
46,WFC,Wells Fargo & Company,US,Financial Services,Banks - Diversified,265508546200,81.59,82.34,-0.91,18267999,NYSE,stock
47,GE,GE Aerospace,US,Industrials,Aerospace & Defense,263451649500,247.05,248.65,-0.64,5955632,NYSE,stock
48,CRM,"Salesforce, Inc.",US,Technology,Software - Application,261609400000,273.65,269.80,1.43,6611790,NYSE,stock
49,9988.HK,Alibaba Group Holding Limited,CN,Consumer Cyclical,Specialty Retail,259651453724,105.90,107.00,-1.03,24279284,HKSE,stock
50,0939.HK,China Construction Bank Corporation,CN,Financial Services,Banks - Diversified,252341683200,8.20,8.24,-0.49,95196475,HKSE,stock
51,600519.SS,"Kweichow Moutai Co., Ltd.",CN,Consumer Defensive,Beverages - Wineries & Distilleries,251147967636,1429.28,1416.11,0.93,1371353,SHH,stock
52,RELIANCE.BO,Reliance Industries Limited,IN,Energy,Oil & Gas Refining & Marketing,249867525343,1538.80,1541.20,-0.16,1461338,BSE,stock
53,VZ.NE,Verizon Communications Inc,US,Communication Services,Telecommunications Services,247767310693,18.61,18.48,0.70,4520,NEO,stock
54,CLBAX,American Funds American Balanced 529A,US,,,240631867017,36.56,36.60,-0.11,0,NASDAQ,stock
55,ABT,Abbott Laboratories,US,Healthcare,Medical - Devices,232025062400,133.36,133.70,-0.25,4779875,NYSE,stock
56,0857.HK,PetroChina Company Limited,CN,Energy,Oil & Gas Integrated,229093604258,6.93,6.85,1.17,30295418,HKSE,stock
57,0941.HK,China Mobile Limited,HK,Communication Services,Telecommunications Services,227771625600,85.95,86.00,-0.06,3339513,HKSE,stock
58,AMD,"Advanced Micro Devices, Inc.",US,Technology,Semiconductors,223461348000,137.82,134.80,2.24,35923370,NASDAQ,stock
59,AXP,American Express Company,US,Financial Services,Financial - Credit Services,222072701220,316.98,322.73,-1.78,2638805,NYSE,stock
